model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,7,25,0.1,0.6666666666666666,0.7164179104477612,0.7144278606965173,0.76,0.045572139303482695
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,8,25,0.1,0.7164179104477612,0.8571428571428571,0.7445628997867805,0.6,-0.1445628997867805
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,9,25,0.1,0.8571428571428571,1.0,0.9485714285714286,0.68,-0.26857142857142857
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,0,2,0.008,0.0,0.0,0.0,0.0,0.0
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,3,35,0.14,0.3103448275862069,0.3333333333333333,0.3142857142857142,0.3142857142857143,5.551115123125783e-17
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,4,38,0.152,0.47368421052631576,0.47368421052631576,0.4736842105263157,0.47368421052631576,5.551115123125783e-17
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,5,17,0.068,0.5,0.5333333333333333,0.5294117647058822,0.5294117647058824,1.1102230246251565e-16
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,6,108,0.432,0.6666666666666666,0.6666666666666666,0.6666666666666669,0.6666666666666666,-2.220446049250313e-16
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,7,40,0.16,0.7727272727272727,0.7777777777777778,0.775,0.775,0.0
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_width,9,10,0.04,1.0,1.0,1.0,1.0,0.0
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,0,25,0.1,0.0,0.3103448275862069,0.2855172413793104,0.2,-0.08551724137931038
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,1,25,0.1,0.3103448275862069,0.47368421052631576,0.40079854809437376,0.44,0.03920145190562624
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,2,25,0.1,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.52,0.046315789473684255
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,3,25,0.1,0.5,0.6666666666666666,0.5733333333333333,0.52,-0.05333333333333323
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,4,25,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.72,0.05333333333333323
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,5,25,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.68,0.013333333333333308
